title,price,location,bedrooms,listing_url,scraped_at,log_price,bed_bath_ratio,tier,tier_Premium
1 Bed Apartment with Swimming Pool at Kirichwa Road,5500000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027661,2026-07-21T13:48:08.917044,15.5202586502027,1.0,Mid,0
1 Bed Apartment with En Suite in Kilimani,3000000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027653,2026-07-21T13:48:08.917053,14.914122846632385,1.0,Mid,0
1 Bed Apartment with Swimming Pool at Chania Avenue,6700000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027643,2026-07-21T13:48:08.917063,15.717618084361195,1.0,Mid,0
2 Bed Apartment with En Suite in Kilimani,6000000.0,Kilimani,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4026919,2026-07-21T13:48:29.170311,15.60727002719233,1.0,Mid,0
1 Bed Apartment with En Suite in Kilimani,3000000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4026913,2026-07-21T13:48:29.170324,14.914122846632385,1.0,Mid,0
2 Bed Apartment with En Suite in Westlands Area,7000000.0,Westlands,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4026949,2026-07-21T13:48:29.170327,15.761420707019589,1.0,Premium,1
2 Bed Apartment with En Suite at Chania Avenue,10700000.0,Kilimani,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4027638,2026-07-21T13:48:29.170331,16.185754299432134,1.0,Mid,0
1 Bed Apartment with En Suite in Westlands Area,4000000.0,Westlands,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4026942,2026-07-21T13:48:29.170334,15.201804919084164,1.0,Premium,1
1 Bed Apartment with Swimming Pool at Chania Avenue,6400000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027633,2026-07-21T13:48:29.170337,15.6718085483299,1.0,Mid,0
2 Bed Apartment with En Suite at Eldama Ravine Rd,13800000.0,Westlands,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4027629,2026-07-21T13:48:29.170340,16.440179150127435,1.0,Premium,1
